desc,jaccard,rbo,kendall_tau
HawkesRanker L=1 p=0.01 beta=5.3300580856343657e-05,0.3010566757742873,0.32694958965939946,0.28918917668720767
HawkesRanker L=1 p=0.1 beta=2.6650290428171828e-05,0.3031677934237827,0.3329432226197692,0.30515662311574415
HawkesRanker L=1 p=0.5 beta=8.022536812036404e-06,0.3227609968838294,0.3514347694406592,0.3345622866787214
HawkesRanker L=10 p=0.01 beta=5.330058085634365e-06,0.33427203827162905,0.36356932248969465,0.3505155722688174
HawkesRanker L=10 p=0.1 beta=2.6650290428171827e-06,0.3534820213653817,0.37900958838554055,0.3784474846406399
HawkesRanker L=10 p=0.5 beta=8.022536812036404e-07,0.39081367564106695,0.40522473818923616,0.41111438403989575
HawkesRanker L=100 p=0.01 beta=5.330058085634366e-07,0.3981891333089219,0.41180757803625634,0.4159464362987991
HawkesRanker L=100 p=0.1 beta=2.665029042817183e-07,0.39875161539793974,0.41148403002846906,0.41168450306171106
HawkesRanker L=100 p=0.5 beta=8.022536812036403e-08,0.38403162444249805,0.40290817598430756,0.40607486047435865
HawkesRanker L=101 p=0.01 beta=5.277285233301352e-07,0.39804168319272043,0.4120763048232455,0.4170578257276369
HawkesRanker L=101 p=0.1 beta=2.638642616650676e-07,0.39902344485379376,0.41145209671276783,0.41225331521711
HawkesRanker L=101 p=0.5 beta=7.943105754491489e-08,0.3839381437836464,0.4029266556560558,0.4060354596491359
HawkesRanker L=102 p=0.01 beta=5.225547142778789e-07,0.39794111954783357,0.41288747004814663,0.41781419229934164
HawkesRanker L=102 p=0.1 beta=2.6127735713893947e-07,0.3984338283679911,0.41113874767158715,0.4117272313981324
HawkesRanker L=102 p=0.5 beta=7.865232168663141e-08,0.38430701366012116,0.40291504561273817,0.40385136723706083
HawkesRanker L=103 p=0.01 beta=5.17481367537317e-07,0.3981021698297691,0.41297763929698733,0.419609805548153
HawkesRanker L=103 p=0.1 beta=2.587406837686585e-07,0.39894207551934774,0.41107962642591356,0.4094044422143632
HawkesRanker L=103 p=0.5 beta=7.788870691297479e-08,0.3839630695529261,0.4028825384569152,0.4039635750446076
HawkesRanker L=104 p=0.01 beta=5.125055851571506e-07,0.39864733946437764,0.41300223163855354,0.41901332906175615
HawkesRanker L=104 p=0.1 beta=2.562527925785753e-07,0.39921485153138364,0.411533493154739,0.41003701775383944
HawkesRanker L=104 p=0.5 beta=7.713977703881158e-08,0.38369539593459767,0.4028604928395821,0.4045030154816893
HawkesRanker L=105 p=0.01 beta=5.076245795842253e-07,0.39899470289660766,0.4128692527216255,0.41824308688479256
HawkesRanker L=105 p=0.1 beta=2.5381228979211267e-07,0.3993475349487498,0.41179037074957975,0.4107815923531334
HawkesRanker L=105 p=0.5 beta=7.64051124955848e-08,0.3828476716819845,0.4025251918604506,0.40415586599535575
HawkesRanker L=106 p=0.01 beta=5.028356684560723e-07,0.398252169142226,0.41248843879235264,0.4180738350244278
HawkesRanker L=106 p=0.1 beta=2.5141783422803613e-07,0.3995472763145689,0.4120114890928009,0.41135454389093606
HawkesRanker L=106 p=0.5 beta=7.568430954751324e-08,0.38210348065510796,0.4018101920446521,0.40415641538748526
HawkesRanker L=107 p=0.01 beta=4.981362696854547e-07,0.39793707397922795,0.4124005918549284,0.4183433627511428
HawkesRanker L=107 p=0.1 beta=2.4906813484272737e-07,0.39983186395512516,0.41190565289678127,0.4117793953071128
HawkesRanker L=107 p=0.5 beta=7.49769795517421e-08,0.38197728176565815,0.40163242027995716,0.4035387255127388
HawkesRanker L=108 p=0.01 beta=4.935238968179969e-07,0.3963385039448321,0.4106810620825512,0.41806213578343226
HawkesRanker L=108 p=0.1 beta=2.4676194840899843e-07,0.399130121645609,0.4119116463603591,0.41386396862984953
HawkesRanker L=108 p=0.5 beta=7.428274825959633e-08,0.38155519412991495,0.40149237007720634,0.4040995838695893
HawkesRanker L=109 p=0.01 beta=4.889961546453546e-07,0.3968558370014609,0.41096612541648364,0.41799272100968554
HawkesRanker L=109 p=0.1 beta=2.444980773226773e-07,0.39979532815830215,0.4125149558524534,0.4139404598388873
HawkesRanker L=109 p=0.5 beta=7.360125515629728e-08,0.3814793090289229,0.40148911714349345,0.40428112858640336
HawkesRanker L=11 p=0.01 beta=4.845507350576696e-06,0.3375562299910769,0.36699997809071316,0.35594691507929915
HawkesRanker L=11 p=0.1 beta=2.422753675288348e-06,0.3571470045132163,0.38044266047284747,0.381509314727946
HawkesRanker L=11 p=0.5 beta=7.293215283669458e-07,0.3936637829490531,0.4064472824294853,0.4123494570436271
HawkesRanker L=110 p=0.01 beta=4.845507350576696e-07,0.3981921543961105,0.41274070824520803,0.4181353637865683
HawkesRanker L=110 p=0.1 beta=2.422753675288348e-07,0.40145354626528346,0.4145657164324828,0.4139243157300668
HawkesRanker L=110 p=0.5 beta=7.293215283669458e-08,0.38088260694812187,0.4011662931397261,0.4046181472825017
HawkesRanker L=111 p=0.01 beta=4.801854131202131e-07,0.3983851971436931,0.4131917572732,0.41904047176129433
HawkesRanker L=111 p=0.1 beta=2.4009270656010657e-07,0.40136128797850107,0.41435541592572667,0.4145773377092476
HawkesRanker L=111 p=0.5 beta=7.227510641474238e-08,0.3806332335434793,0.4010943848958312,0.4044737480721211
HawkesRanker L=112 p=0.01 beta=4.758980433602112e-07,0.39818638944757395,0.41304149809524854,0.4194744148196387
HawkesRanker L=112 p=0.1 beta=2.379490216801056e-07,0.40134394077693114,0.4143370954853172,0.4144730972498879
HawkesRanker L=112 p=0.5 beta=7.162979296461074e-08,0.3807082295652639,0.4004994836012624,0.40326696616044216
HawkesRanker L=113 p=0.01 beta=4.716865562508288e-07,0.39814984220485067,0.4126852642240752,0.4166965385935413
HawkesRanker L=113 p=0.1 beta=2.358432781254144e-07,0.4010583142151721,0.41459562119257815,0.41468337679412914
HawkesRanker L=113 p=0.5 beta=7.09959009914726e-08,0.3811970216407053,0.4005115898837352,0.4018161703641755
HawkesRanker L=114 p=0.01 beta=4.675489548802075e-07,0.39751239975970876,0.4115640811653109,0.41277568132229225
HawkesRanker L=114 p=0.1 beta=2.3377447744010376e-07,0.4010442262904988,0.4147040857333035,0.4137465543519673
HawkesRanker L=114 p=0.5 beta=7.03731299301439e-08,0.38130891798935074,0.40052899411944826,0.4019441570376811
HawkesRanker L=115 p=0.01 beta=4.6348331179429266e-07,0.39753665766980895,0.4116013295657356,0.41184353120924105
HawkesRanker L=115 p=0.1 beta=2.3174165589714633e-07,0.40098457939468746,0.4146762789341045,0.4131068483404907
HawkesRanker L=115 p=0.5 beta=6.976118966988177e-08,0.3809908579916164,0.4004778341532681,0.4017448644965114
HawkesRanker L=116 p=0.01 beta=4.5948776600296254e-07,0.3978473098503577,0.411687935896201,0.41247740461194066
HawkesRanker L=116 p=0.1 beta=2.2974388300148127e-07,0.40124156622411244,0.4148234252829207,0.41231199132590096
HawkesRanker L=116 p=0.5 beta=6.91598001037621e-08,0.38112547014036285,0.4002621490869913,0.4013040012545899
HawkesRanker L=117 p=0.01 beta=4.5556052013968936e-07,0.39759977482132336,0.4117228821461449,0.41201985215543935
HawkesRanker L=117 p=0.1 beta=2.2778026006984468e-07,0.4012441549192806,0.414902807644834,0.41369715998775225
HawkesRanker L=117 p=0.5 beta=6.856869070116585e-08,0.3805533685081906,0.400098805861281,0.401105690071123
HawkesRanker L=118 p=0.01 beta=4.516998377656242e-07,0.39736970523041404,0.4113769822232943,0.41309728288900166
HawkesRanker L=118 p=0.1 beta=2.258499188828121e-07,0.4008696740491702,0.4143159894331124,0.4149284862401714
HawkesRanker L=118 p=0.5 beta=6.798760010200342e-08,0.3799747321776601,0.40002289301097155,0.40135676272837184
HawkesRanker L=119 p=0.01 beta=4.4790404080961053e-07,0.3977251046921926,0.41135409627032704,0.41158651686288156
HawkesRanker L=119 p=0.1 beta=2.2395202040480526e-07,0.40158078235898803,0.41421816059430866,0.4140757715808752
HawkesRanker L=119 p=0.5 beta=6.741627573139836e-08,0.37966177145776897,0.4000469824719849,0.40375437032487144
HawkesRanker L=12 p=0.01 beta=4.441715071361971e-06,0.33952729463937,0.3700897070156242,0.36293023821474285
HawkesRanker L=12 p=0.1 beta=2.2208575356809857e-06,0.36025922292577495,0.3837852666526252,0.38575131773565213
HawkesRanker L=12 p=0.5 beta=6.685447343363669e-07,0.39222411019970077,0.4081841615849476,0.42029956311479616
HawkesRanker L=120 p=0.01 beta=4.4417150713619713e-07,0.39762908379804596,0.4113973294779574,0.411905537370646
HawkesRanker L=120 p=0.1 beta=2.2208575356809856e-07,0.40181846444581015,0.41437897158757475,0.413630782309995
HawkesRanker L=120 p=0.5 beta=6.68544734336367e-08,0.3787867924909173,0.39980101517849936,0.40433387304126883
HawkesRanker L=121 p=0.01 beta=4.405006682342451e-07,0.39705617036015206,0.4113906992082405,0.41143275664619816
