,L,mu,theta,forget_func,jaccard_sim
0,1.0,0.4,0.05,exp,0.1682464223268164
1,1.0,0.4,0.05,pow,0.20759612554201534
2,1.0,0.4,0.1,exp,0.17500221639649347
3,1.0,0.4,0.1,pow,0.2415490668366707
4,1.0,0.4,0.3,exp,0.23164466423245592
5,1.0,0.4,0.3,pow,0.2894716859063398
6,1.0,0.4,0.5,exp,0.004814164751423844
7,1.0,0.4,0.5,pow,0.04316316004160074
8,1.0,0.6,0.05,exp,0.16393056599547529
9,1.0,0.6,0.05,pow,0.18036965026247853
10,1.0,0.6,0.1,exp,0.16552978169536287
11,1.0,0.6,0.1,pow,0.19237049003228257
12,1.0,0.6,0.3,exp,0.18190566278465503
13,1.0,0.6,0.3,pow,0.26092296166476814
14,1.0,0.6,0.5,exp,0.2299439302781877
15,1.0,0.6,0.5,pow,0.29567939515004515
16,1.0,0.8,0.05,exp,0.16062914018335583
17,1.0,0.8,0.05,pow,0.16517300787048597
18,1.0,0.8,0.1,exp,0.16161306723880517
19,1.0,0.8,0.1,pow,0.16764134734174463
20,1.0,0.8,0.3,exp,0.16542152325305082
21,1.0,0.8,0.3,pow,0.19062821872266086
22,1.0,0.8,0.5,exp,0.17322563089927476
23,1.0,0.8,0.5,pow,0.23090173033366557
24,3.0,0.4,0.05,exp,0.2355269014467558
25,3.0,0.4,0.05,pow,0.2678611009391163
26,3.0,0.4,0.1,exp,0.24302070044064203
27,3.0,0.4,0.1,pow,0.28149899185572475
28,3.0,0.4,0.3,exp,0.2880797726723924
29,3.0,0.4,0.3,pow,0.28766558588134644
30,3.0,0.4,0.5,exp,0.0037342921160669683
31,3.0,0.4,0.5,pow,0.04671601206478899
32,3.0,0.6,0.05,exp,0.2235695066689071
33,3.0,0.6,0.05,pow,0.24809912417902083
34,3.0,0.6,0.1,exp,0.22916218120110385
35,3.0,0.6,0.1,pow,0.258343755142865
36,3.0,0.6,0.3,exp,0.24439467318543107
37,3.0,0.6,0.3,pow,0.2890670030337778
38,3.0,0.6,0.5,exp,0.28074623721900277
39,3.0,0.6,0.5,pow,0.2975623507788953
40,3.0,0.8,0.05,exp,0.22107381244242924
41,3.0,0.8,0.05,pow,0.2297386894086725
42,3.0,0.8,0.1,exp,0.22115882728668548
43,3.0,0.8,0.1,pow,0.23362279598875424
44,3.0,0.8,0.3,exp,0.22634078767000637
45,3.0,0.8,0.3,pow,0.25442550745553966
46,3.0,0.8,0.5,exp,0.23859317818934742
47,3.0,0.8,0.5,pow,0.2819311449728331
48,5.0,0.4,0.05,exp,0.26178398890480065
49,5.0,0.4,0.05,pow,0.2783834888525598
50,5.0,0.4,0.1,exp,0.2674077693936419
51,5.0,0.4,0.1,pow,0.28710161623759384
52,5.0,0.4,0.3,exp,0.2994359247600099
53,5.0,0.4,0.3,pow,0.28897784380119074
54,5.0,0.4,0.5,exp,0.003842741681540861
55,5.0,0.4,0.5,pow,0.048798960649968026
