,L,mu,theta,forget_func,jaccard_sim,rbo
0,7.0,0.2,0.1,exp,0.2993607161924485,0.3299562530463657
1,7.0,0.2,0.1,pow,0.265935934500146,0.2949114563112465
2,7.0,0.2,0.166667,exp,0.32652973924797607,0.34603095902692527
3,7.0,0.2,0.166667,pow,0.2611581251194526,0.29367229772601944
4,7.0,0.3,0.1,exp,0.28871016054433934,0.3209724773763465
5,7.0,0.3,0.1,pow,0.2825486948899666,0.3064520149406749
6,7.0,0.3,0.166667,exp,0.3018512029498134,0.3294409941690544
7,7.0,0.3,0.166667,pow,0.2773900084114116,0.3048089245143178
8,7.0,0.3,0.2,exp,0.3092439922131512,0.33342218737245555
9,7.0,0.3,0.2,pow,0.2754997107345257,0.3038221180940307
10,7.0,0.4,0.1,exp,0.2762541054447205,0.3068531486288555
11,7.0,0.4,0.1,pow,0.28860160241905264,0.3085294650339099
12,7.0,0.4,0.166667,exp,0.28640114018849616,0.31466251083605395
13,7.0,0.4,0.166667,pow,0.292380161740136,0.30989591205145806
14,7.0,0.4,0.2,exp,0.29344957726964566,0.31993617108600086
15,7.0,0.4,0.2,pow,0.2911186129063833,0.3094871422202382
16,7.0,0.4,0.3,exp,0.30742176797478965,0.3289093210330918
17,7.0,0.4,0.3,pow,0.288842401037501,0.3096927711673324
18,7.0,0.5,0.1,exp,0.26944140481480533,0.3024853461069428
19,7.0,0.5,0.1,pow,0.28350055254530065,0.30297112939548215
20,7.0,0.5,0.166667,exp,0.27634787002651157,0.3063935285936549
21,7.0,0.5,0.166667,pow,0.2922535171910778,0.31032708308679796
22,7.0,0.5,0.2,exp,0.27824252907515046,0.3073514374586629
23,7.0,0.5,0.2,pow,0.29270655960119485,0.31171073741546185
24,7.0,0.5,0.3,exp,0.29125359893836134,0.31668359436416244
25,7.0,0.5,0.3,pow,0.2951657608529381,0.3129850289983192
26,7.0,0.5,0.4,exp,0.3036416654468099,0.3237286342292357
27,7.0,0.5,0.4,pow,0.29782195998394234,0.3155401647680358
28,7.0,0.6,0.1,exp,0.266249723942495,0.3003353156554651
29,7.0,0.6,0.1,pow,0.2777530788242244,0.3008347951170285
30,7.0,0.6,0.166667,exp,0.26737376275914126,0.30235746894414667
31,7.0,0.6,0.166667,pow,0.28493659791142445,0.303563898849935
32,7.0,0.6,0.2,exp,0.2695168738901137,0.30368598687806586
33,7.0,0.6,0.2,pow,0.2872408454631278,0.3066925842239241
34,7.0,0.6,0.3,exp,0.2776616952005683,0.3082877337417654
35,7.0,0.6,0.3,pow,0.29375086760467656,0.3123451709315583
36,7.0,0.6,0.4,exp,0.287246547177251,0.31322598677747365
37,7.0,0.6,0.4,pow,0.2957303674245295,0.3141863278759547
38,7.0,0.6,0.5,exp,0.29835116866890776,0.3205190767428636
39,7.0,0.6,0.5,pow,0.29868893157133136,0.3157345214447679
40,7.0,0.7,0.1,exp,0.26420035271863235,0.2972654242621213
41,7.0,0.7,0.1,pow,0.2682393005690848,0.29672163830208687
42,7.0,0.7,0.166667,exp,0.2647298591230402,0.29869556008522813
43,7.0,0.7,0.166667,pow,0.27298914791902423,0.29840595291921607
44,7.0,0.7,0.2,exp,0.2656098316262373,0.2993963438985443
45,7.0,0.7,0.2,pow,0.2778306044783171,0.301525967066859
46,7.0,0.7,0.3,exp,0.2693405449815913,0.30202477427453495
47,7.0,0.7,0.3,pow,0.2869728647137445,0.30544317650850655
48,7.0,0.7,0.4,exp,0.27483021289197396,0.30502340650508103
49,7.0,0.7,0.4,pow,0.29448382276790613,0.31246231149102105
50,7.0,0.7,0.5,exp,0.2828227224857377,0.3097372319841153
51,7.0,0.7,0.5,pow,0.29739988647906085,0.31453373250081706
52,7.0,0.7,0.6,exp,0.29412332378038564,0.31807445826339265
53,7.0,0.7,0.6,pow,0.30018299486467065,0.31649879421105315
54,7.0,0.8,0.1,exp,0.2588451161390149,0.29435203826496026
55,7.0,0.8,0.1,pow,0.26317269123470244,0.2944142916684553
56,7.0,0.8,0.166667,exp,0.26270987087972897,0.2963067952219942
57,7.0,0.8,0.166667,pow,0.26666751306467623,0.2968111125739611
58,7.0,0.8,0.2,exp,0.2633934647416271,0.29682711927824423
59,7.0,0.8,0.2,pow,0.2687323655635618,0.2977416787001184
60,7.0,0.8,0.3,exp,0.2646358279517583,0.29826166161048084
61,7.0,0.8,0.3,pow,0.27310801992825356,0.2998646612697603
62,7.0,0.8,0.4,exp,0.2666394716355231,0.3004661171291155
63,7.0,0.8,0.4,pow,0.28168347093088664,0.3043085647363623
64,7.0,0.8,0.5,exp,0.2715927723188648,0.3030479931935353
65,7.0,0.8,0.5,pow,0.2894474865538452,0.30793313054002674
66,7.0,0.8,0.6,exp,0.2765761754473269,0.3056783377318217
67,7.0,0.8,0.6,pow,0.2942249409908425,0.31350721255976893
68,7.0,0.9,0.1,exp,0.25625069083735896,0.2915548203381085
69,7.0,0.9,0.1,pow,0.25878452840910915,0.29142720048851756
70,7.0,0.9,0.166667,exp,0.25656259842025547,0.29220857921738663
71,7.0,0.9,0.166667,pow,0.2593817114286995,0.29306418520955196
72,7.0,0.9,0.2,exp,0.25687696565321677,0.2925829995504974
73,7.0,0.9,0.2,pow,0.2603128294529689,0.2938111650858005
74,7.0,0.9,0.3,exp,0.2586280541293824,0.2932160855921833
75,7.0,0.9,0.3,pow,0.2624795993561528,0.29549777073367856
76,7.0,0.9,0.4,exp,0.260782757149954,0.2950528951176113
77,7.0,0.9,0.4,pow,0.2665771362743563,0.2972990208956471
