,L,mu,theta,forget_func,jaccard_sim,rbo,kendall_tau
0,1.0,0.002,0.0001,exp,0.19726537951001713,0.2720673651971483,0.1897640936680263
1,1.0,0.002,0.001,exp,0.2546158267273108,0.3151862792840445,0.2608312601798135
2,1.0,0.01380172,0.0001,exp,0.18867719855786758,0.2625210471241222,0.17505777011014945
3,1.0,0.01380172,0.001,exp,0.1991227355524987,0.2746099345481969,0.1951509621882148
4,1.0,0.01380172,0.01035379,exp,0.31281457924510536,0.35605599533944504,0.3175565306361371
5,1.0,0.01724966,0.0001,exp,0.18777932169701117,0.2622499699289314,0.1790897713874879
6,1.0,0.01724966,0.001,exp,0.19726809346462898,0.2722730815227767,0.19013151999103875
7,1.0,0.01724966,0.01035379,exp,0.26902582566995253,0.3284400817168601,0.2826946605383743
8,1.0,0.01724966,0.01380172,exp,0.3248328179252194,0.3633565213041651,0.32547298844379446
9,1.0,0.01891525,0.0001,exp,0.18740535642860098,0.26215175797550483,0.17934896904351472
10,1.0,0.01891525,0.001,exp,0.1977020103249477,0.2714635837133822,0.18704812555083888
11,1.0,0.01891525,0.01035379,exp,0.2604534003973971,0.32018186472142013,0.2659108996884091
12,1.0,0.01891525,0.01380172,exp,0.30615595101030735,0.35041778949907515,0.3055336625375702
13,1.0,0.01891525,0.01724966,exp,0.3658060250827466,0.38707645097557797,0.35813807771917405
14,1.0,0.01891525,0.0179322,exp,0.3870283430202858,0.40049991298028054,0.3801081107419256
15,1.0,0.02069759,0.0001,exp,0.18719644369110794,0.2620681042986955,0.177390400402631
16,1.0,0.02069759,0.001,exp,0.1968257414314334,0.2700694139154097,0.18597475491828536
17,1.0,0.02069759,0.01035379,exp,0.2520190236418012,0.31400359945318235,0.2557808625767166
18,1.0,0.02069759,0.01380172,exp,0.2885242374451151,0.3395140520951705,0.2920428113020376
19,1.0,0.02069759,0.01724966,exp,0.33505335845041084,0.3675788752452785,0.33254653555537445
20,1.0,0.02069759,0.0179322,exp,0.34206593983107336,0.3728701889280801,0.3443598225172218
21,1.0,0.02414552,0.0001,exp,0.1862132198356409,0.261567797823551,0.18033061427620825
22,1.0,0.02414552,0.001,exp,0.19659914731375633,0.27027681736860004,0.1884733158041286
23,1.0,0.02414552,0.01035379,exp,0.24141453581262928,0.3056573278665342,0.245087761018766
24,1.0,0.02414552,0.01380172,exp,0.26384857495423486,0.32345773988491583,0.27045535320528696
25,1.0,0.02414552,0.01724966,exp,0.3007363880866073,0.3473772079596158,0.30443547778729063
26,1.0,0.02414552,0.0179322,exp,0.30934889838971463,0.3525101787582459,0.3087809673553568
27,1.0,0.02414552,0.02069759,exp,0.3402740502946296,0.3704554207350328,0.3408419251246539
28,1.0,0.02759345,0.0001,exp,0.18592477888907274,0.2612234593664571,0.17997987169966517
29,1.0,0.02759345,0.001,exp,0.19491472889684983,0.26920131341591236,0.18719262132778733
30,1.0,0.02759345,0.01035379,exp,0.2358750335365985,0.3008619890102191,0.23956706315535228
31,1.0,0.02759345,0.01380172,exp,0.25089902064165437,0.31246582756784425,0.2521272509248261
32,1.0,0.02759345,0.01724966,exp,0.27297618018984976,0.33012723081938855,0.2839928566739378
33,1.0,0.02759345,0.0179322,exp,0.27882139144615836,0.3331517718364247,0.28867939834510675
34,1.0,0.02759345,0.02069759,exp,0.31120983670390273,0.3537148481867241,0.3099046207741156
35,1.0,0.02759345,0.02414552,exp,0.3434119934163529,0.37217475226533364,0.34350902759961277
36,1.0,0.03104138,0.0001,exp,0.1853542069404089,0.2611968761461112,0.17845922937463898
37,1.0,0.03104138,0.001,exp,0.19426521090623028,0.26847639053769423,0.18405768735705155
38,1.0,0.03104138,0.01035379,exp,0.23112609442401794,0.29667072167655983,0.22928130932506016
39,1.0,0.03104138,0.01380172,exp,0.2423287501125679,0.30650562606708925,0.24553885172790163
40,1.0,0.03104138,0.01724966,exp,0.26033997133900555,0.3199971908337037,0.2653238929411135
41,1.0,0.03104138,0.0179322,exp,0.26386732302695476,0.3239482269170168,0.2724610409263293
42,1.0,0.03104138,0.02069759,exp,0.28244129239882515,0.3350076505215069,0.2906366349110997
43,1.0,0.03104138,0.02414552,exp,0.31759816332750473,0.3570552754523909,0.3146631067558895
44,1.0,0.03104138,0.02759345,exp,0.3516707970985261,0.37656224772642666,0.3430225700430502
45,1.0,0.03448931,0.0001,exp,0.18444846889344213,0.26043285428877094,0.1780449112454207
46,1.0,0.03448931,0.001,exp,0.19302232892484086,0.26785842124073067,0.18515044866370273
47,1.0,0.03448931,0.01035379,exp,0.22721512242176262,0.29464564885185207,0.23504480944560072
48,1.0,0.03448931,0.01380172,exp,0.23703474111199915,0.30183448628846626,0.24333033211220623
49,1.0,0.03448931,0.01724966,exp,0.25065488151942333,0.31244876141588235,0.25321156680471785
