,L,mu,theta,forget_func,jaccard_sim,rbo
0,1.0,0.003457931034482759,1e-05,exp,0.1639784946236559,0.25802118406285074
1,1.0,0.006905862068965518,1e-05,exp,0.16129032258064516,0.25493267005485865
2,1.0,0.006905862068965518,0.003457931034482759,exp,0.23809523809523808,0.29956200905876235
3,1.0,0.010353793103448278,1e-05,exp,0.16129032258064516,0.2543473639455782
4,1.0,0.010353793103448278,0.003457931034482759,exp,0.2,0.2889902205378396
5,1.0,0.010353793103448278,0.006905862068965518,exp,0.2727272727272727,0.32533472937319097
6,1.0,0.013801724137931036,1e-05,exp,0.16129032258064516,0.2539428781095448
7,1.0,0.013801724137931036,0.003457931034482759,exp,0.2,0.28515873015873017
8,1.0,0.013801724137931036,0.006905862068965518,exp,0.23809523809523808,0.30102802815871
9,1.0,0.013801724137931036,0.010353793103448278,exp,0.3,0.34561224489795916
10,1.0,0.017249655172413794,1e-05,exp,0.15959252971137522,0.25256944444444446
11,1.0,0.017249655172413794,0.003457931034482759,exp,0.2,0.2828383843724998
12,1.0,0.017249655172413794,0.006905862068965518,exp,0.21739130434782608,0.2975098512598513
13,1.0,0.017249655172413794,0.010353793103448278,exp,0.25,0.31885561357955583
14,1.0,0.017249655172413794,0.013801724137931036,exp,0.3333333333333333,0.35073803511303503
15,1.0,0.020697586206896556,1e-05,exp,0.15789473684210525,0.2531922398589066
16,1.0,0.020697586206896556,0.003457931034482759,exp,0.2,0.27777777777777773
17,1.0,0.020697586206896556,0.006905862068965518,exp,0.2,0.29100656638535427
18,1.0,0.020697586206896556,0.010353793103448278,exp,0.23809523809523808,0.29932249989068177
19,1.0,0.020697586206896556,0.013801724137931036,exp,0.2727272727272727,0.3236568986568986
20,1.0,0.020697586206896556,0.017249655172413794,exp,0.3333333333333333,0.35601364541000136
21,1.0,0.024145517241379314,1e-05,exp,0.15789473684210525,0.2539428781095448
22,1.0,0.024145517241379314,0.003457931034482759,exp,0.19375,0.27566923816923816
23,1.0,0.024145517241379314,0.006905862068965518,exp,0.2,0.28940808838527543
24,1.0,0.024145517241379314,0.010353793103448278,exp,0.2222222222222222,0.29862036112036117
25,1.0,0.024145517241379314,0.013801724137931036,exp,0.25,0.31397356501523166
