,L,mu,theta,forget_func,jaccard_sim,rbo,kendall_tau
0,1.0,0.002,0.0001,exp,0.1724137931034483,0.26904761904761904,0.40540540540540543
1,1.0,0.002,0.001,exp,0.2413793103448276,0.319130291005291,0.49019607843137253
2,1.0,0.01380172,0.0001,exp,0.16666666666666666,0.2650297619047619,0.375
3,1.0,0.01380172,0.001,exp,0.17647058823529413,0.2708333333333333,0.40540540540540543
4,1.0,0.01380172,0.01035379,exp,0.3218390804597701,0.3590107709750567,0.52
5,1.0,0.01724966,0.0001,exp,0.16666666666666666,0.26449035827099554,0.375
6,1.0,0.01724966,0.001,exp,0.1724137931034483,0.2708333333333333,0.4
7,1.0,0.01724966,0.01035379,exp,0.25462962962962965,0.3261611305361305,0.5
8,1.0,0.01724966,0.01380172,exp,0.3333333333333333,0.3681768136940511,0.5357142857142857
9,1.0,0.01891525,0.0001,exp,0.16666666666666666,0.26449035827099554,0.375
10,1.0,0.01891525,0.001,exp,0.1724137931034483,0.2699404761904762,0.4
11,1.0,0.01891525,0.01035379,exp,0.25,0.32328672809608394,0.5
12,1.0,0.01891525,0.01380172,exp,0.3060200668896321,0.35345323079698077,0.5238095238095238
13,1.0,0.01891525,0.01724966,exp,0.375,0.39470024924570374,0.5555555555555556
14,1.0,0.01891525,0.0179322,exp,0.4,0.4057675831113331,0.5555555555555556
15,1.0,0.02069759,0.0001,exp,0.16666666666666666,0.2650297619047619,0.375
16,1.0,0.02069759,0.001,exp,0.1724137931034483,0.2699404761904762,0.4
17,1.0,0.02069759,0.01035379,exp,0.2413793103448276,0.31639572098485924,0.5
18,1.0,0.02069759,0.01380172,exp,0.2857142857142857,0.3385735544217686,0.5
19,1.0,0.02069759,0.01724966,exp,0.3333333333333333,0.3726800087377011,0.543859649122807
20,1.0,0.02069759,0.0179322,exp,0.3333333333333333,0.37542139820116543,0.55
21,1.0,0.02414552,0.0001,exp,0.16666666666666666,0.2632276881988531,0.38461538461538464
22,1.0,0.02414552,0.001,exp,0.1724137931034483,0.2708333333333333,0.4
23,1.0,0.02414552,0.01035379,exp,0.23076923076923078,0.3142160694244027,0.47368421052631576
24,1.0,0.02414552,0.01380172,exp,0.25,0.32432549968774016,0.4838709677419355
25,1.0,0.02414552,0.01724966,exp,0.3,0.3448626560867046,0.52
26,1.0,0.02414552,0.0179322,exp,0.3076923076923077,0.3536631192881193,0.52
27,1.0,0.02414552,0.02069759,exp,0.3333333333333333,0.37216921100309697,0.5454545454545454
28,1.0,0.02759345,0.0001,exp,0.16666666666666666,0.2623305257208083,0.38461538461538464
29,1.0,0.02759345,0.001,exp,0.16666666666666666,0.26573798500881834,0.4
30,1.0,0.02759345,0.01035379,exp,0.21739130434782608,0.3085069906944906,0.45454545454545453
31,1.0,0.02759345,0.01380172,exp,0.2413793103448276,0.3142160694244027,0.4838709677419355
32,1.0,0.02759345,0.01724966,exp,0.2649122807017544,0.3309661293118194,0.5
33,1.0,0.02759345,0.0179322,exp,0.2727272727272727,0.337082866671967,0.5
34,1.0,0.02759345,0.02069759,exp,0.3333333333333333,0.35807823129251704,0.52
35,1.0,0.02759345,0.02414552,exp,0.3333333333333333,0.3732466029341029,0.5483870967741935
36,1.0,0.03104138,0.0001,exp,0.16666666666666666,0.2623305257208083,0.38181818181818183
37,1.0,0.03104138,0.001,exp,0.16666666666666666,0.26785714285714285,0.391304347826087
38,1.0,0.03104138,0.01035379,exp,0.20606060606060606,0.30386243386243383,0.45454545454545453
39,1.0,0.03104138,0.01380172,exp,0.23076923076923078,0.31461640211640207,0.47368421052631576
40,1.0,0.03104138,0.01724966,exp,0.25,0.32372951002925054,0.5
41,1.0,0.03104138,0.0179322,exp,0.25,0.3259673881893358,0.48717948717948717
42,1.0,0.03104138,0.02069759,exp,0.28,0.33684523809523803,0.5
43,1.0,0.03104138,0.02414552,exp,0.3333333333333333,0.35655706727135295,0.52
44,1.0,0.03104138,0.02759345,exp,0.3333333333333333,0.37645895770895765,0.5483870967741935
45,1.0,0.03448931,0.0001,exp,0.16666666666666666,0.26161241749005704,0.375
46,1.0,0.03448931,0.001,exp,0.16666666666666666,0.26785714285714285,0.3939393939393939
47,1.0,0.03448931,0.01035379,exp,0.2,0.29451643775873465,0.45454545454545453
48,1.0,0.03448931,0.01380172,exp,0.21739130434782608,0.3100419333752667,0.47368421052631576
49,1.0,0.03448931,0.01724966,exp,0.23973727422003283,0.31639572098485924,0.4857142857142857
50,1.0,0.03448931,0.0179322,exp,0.2413793103448276,0.32100325600325597,0.49019607843137253
51,1.0,0.03448931,0.02069759,exp,0.25,0.32930953014299924,0.49019607843137253
